True,Plant Name,Title,Description
351,Hibiscus,HUMIDITY,Average outdoor humidity is fine for most area of the US.
352,Hibiscus,LIGHT,"Place your Hibiscus in a full sun location that receives 6 or more hours of direct sunlight per day. The Hibiscus can tolerate partial sun exposure, but flowering will be reduced. The plant will not produce flowers in a fully shaded location."
353,Hibiscus,TEMPERATURE,Keep indoors in a bright spot until outdoor temperatures remain above 50°F. Foliage can be damaged at temperatures below 45°F.
354,Hibiscus,TOXICITY,Your Hibiscus is considered non-toxic and pet-friendly.
355,Hibiscus,WATER,Water when the 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot. Do not use a saucer outdoors or allow the plant to sit in standing water.
356,Homalomena Emerald Gem,ADDITIONAL CARE,"You may notice bottom leaves occasionally yellow and die. Not to worry–this is normal. You can cut them off using clean, sharp shears. If this is happening rapidly, it can indicate that your plant is cold, is staying too wet, or is staying too dry."
357,Homalomena Emerald Gem,FOOD,Feed your Homalomena Emerald Green once a month during spring and summer with a general houseplant fertilizer diluted to half the recommended strength.
358,Homalomena Emerald Gem,HUMIDITY,"Your Homalomena will do well in average household  humidity, but will appreciate added humidity from misting or adding a humidifier nearby."
359,Homalomena Emerald Gem,LIGHT,"Your Homalomena Emerald Gem likes bright indirect light. They can tolerate lower light, but growth may slow significantly. If kept in direct sunlight, the foliage may burn."
360,Homalomena Emerald Gem,TEMPERATURE,Your Homalomena is sensitive to temperatures below 65 degrees. Keep it in an area with temperatures between 65-85 degrees.
361,Homalomena Emerald Gem,TOXICITY,Your Homalomena is toxic to animals and humans if ingested.
362,Homalomena Emerald Gem,WATER,"Allow the top 50% of the soil of your Homalomena to dry out between watering. They do not like soggy soil, but also do not like to dry out for extended periods of time."
363,Hypoestes,ADDITIONAL CARE,"If you choose, you can bring your Hypoestes outdoors during the summer months when nighttime temperatures are consistently above 50 degrees. It will thrive in a spot that has full shade so that the leaves do not get sunburnt."
364,Hypoestes,FOOD,Feed every month from spring through the end of summer with a general houseplant fertilizer diluted to half the recommended strength.
365,Hypoestes,HUMIDITY,"Average household humidity is acceptable, but your Hypoestes will appreciate higher humidity levels. You can boost the humidity with frequent misting, placing a humidifier nearby, or using a pebble tray. Another way to increase relative humidity is to group several humidity-loving plants together in a small area, creating a microclimate."
366,Hypoestes,LIGHT,"Your Hypoestes prefers bright, indirect light. Lower light can cause it to grow slower and become stretched out while direct sunlight can burn the leaves."
367,Hypoestes,TEMPERATURE,Your Hypoestes will thrive in average room temperatures between 65-80 degrees. Avoid cold drafts and direct airflow from heaters in the winter months.
368,Hypoestes,TOXICITY,Hypoestes are non-toxic according to the ASPCA.
369,Hypoestes,WATER,"Water your Hypoestes thoroughly when the top 25-50% of soil is dry. If you let your Hypoestes dry out too much, it will let you know with limp leaves. Not to worry! After a thorough watering, the leaves should soon perk up."
370,Japanese Sago Palm,ADDITIONAL CARE,"Aside from bright light and occasional fertilizer, your Sago Palm doesn’t require much care. It is susceptible to root rot, especially in the fall and winter months, so take care not to overwater it. The plant naturally sheds its lower leaves as it grows. As these leaves begin to yellow, they can be removed with a sharp cutting tool."
371,Japanese Sago Palm,FOOD,"Water your Sago Palm once in the spring and once in the summer. Use a general purpose houseplant fertilizer or one formulated specifically for palms, diluted to half-strength."
372,Japanese Sago Palm,HUMIDITY,Sago Palms do fine in average household humidity.
373,Japanese Sago Palm,LIGHT,"Your Sago Palm prefers bright indirect light to direct sunlight. Choose a south- or west-facing window, or supplement with a grow light to encourage growth and a deep green color."
374,Japanese Sago Palm,TEMPERATURE,"Maintain a temperature between 65-75°F. If moved outdoors for the summer, Sago Palms don’t mind the heat but will need to be watered more frequently."
375,Japanese Sago Palm,TOXICITY,Sago Palms are considered highly toxic to pets and humans if ingested.
376,Japanese Sago Palm,WATER,"Water your Sago Palm when 75% of the soil volume is dry. Water thoroughly, allowing it to soak into the soil until it drips out of the drainage hole. Remove excess water that collects in the saucer."
377,Kale Storm,ADDITIONAL CARE,"Cut your Kale at any point to enjoy it. Cut no more than ⅓ of the plant’s leaves off at any given time. Please note: Kale is meant for humans, not pets."
378,Kale Storm,FOOD,Feed once every month during the spring and summer with a fertilizer for edible plants.
379,Kale Storm,HUMIDITY,Your Kale plant prefers a humid environment. Mist often if grown indoors.
380,Kale Storm,LIGHT,"Your Kale plant requires bright light to full sun. If grown indoors, place on a sunny windowsill or under a grow light."
381,Kale Storm,TEMPERATURE,60°-90° F
382,Kale Storm,TOXICITY,"Cubanelle and Sweet Banana Peppers are non-toxic and edible, but are meant to be eaten by humans — not pets. Green Bell Peppers are non-toxic to pets."
383,Kale Storm,WATER,Water your Kale plant when the top 25% of soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer. Do not allow the soil of your Kale plant to dry out completely.
384,Lemon Cypress,ADDITIONAL CARE,"Branch tips turning dry and crispy is a common sign of low humidity that can occur over the winter months. Increasing humidity will often solve this issue. Lemon Cypress plants naturally maintain a narrow, upright growth pattern and generally do not need to be trimmed, but feel free to lightly prune your plant to enhance the shape or to remove dried, brown tips."
385,Lemon Cypress,FOOD,Feed your Lemon Cypress once in the spring and once in the summer with a general-purpose fertilizer diluted to half-strength. No fertilizer is necessary during the fall and winter when plant growth naturally slows.
386,Lemon Cypress,HUMIDITY,"Your Lemon Cypress benefits from added humidity during the winter months. You can increase humidity for your Lemon Cypress by using a pebble tray, placing a humidifier nearby, or grouping it near other plants."
387,Lemon Cypress,LIGHT,Your Lemon Cypress prefers bright indirect light to direct sunlight. It will not do well in medium or low light environments.
388,Lemon Cypress,TEMPERATURE,Your Lemon Cypress prefers cool to average room temperatures between 55-75°F. Avoid exposure to heating or cooling vents which can cause the humidity to drop.
389,Lemon Cypress,TOXICITY,Lemon Cypress is considered to be toxic to pets and humans if ingested.
390,Lemon Cypress,WATER,Water your Lemon Cypress when 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
391,Lipstick Plant,ADDITIONAL CARE,"When watering, avoid getting water on the leaves of the plant and instead pour water directly over the soil surface or bottom-water your plant. Lipstick plants are susceptible to foliar fungal issues and it’s important to minimize water on the leaves. We also recommend removing spent flowers which can cause Botrytis leaf blight if left to decay on the plant."
392,Lipstick Plant,FOOD,"For best results, use a liquid houseplant fertilizer diluted to half the recommended strength every other week during the spring and summer and once per month in the fall and winter. Never apply fertilizer to dry soil; always make sure the soil is damp before feeding your plant."
393,Lipstick Plant,HUMIDITY,"Hailing from a tropical region, the lipstick plant appreciates high humidity environments. Group it with other plants, place a humidifier nearby, or use a pebble tray to raise the humidity. Misting is not recommended as the plant is susceptible to foliar fungal issues."
394,Lipstick Plant,LIGHT,"Lipstick plants are very adaptable to all lighting conditions, from direct sunlight to low and artificial light. Your lipstick plant will perform best in bright, indirect light or when allowed to receive direct morning sun. You may notice slowed growth and a lack of flowers in lower lighting conditions."
395,Lipstick Plant,TEMPERATURE,A healthy lipstick plant requires temperatures above 65°F. Avoid cold drafts and sudden temperature changes.
396,Lipstick Plant,TOXICITY,Your lipstick plant is considered to be non-toxic to pets and humans.
397,Lipstick Plant,WATER,"Though the thick, leathery leaves of your lipstick plant make it resilient to a few skipped waterings, the plant thrives when it receives consistent moisture and is planted in a well-aerated, coarse potting mix. Water your lipstick plant when the top 25% of soil is dry. Water thoroughly, and be sure to empty the saucer of any excess water to prevent root rot."
398,Lithops,ADDITIONAL CARE,"Lithops are very susceptible to rot if watered improperly. Always err on the side of underwatering, and water the soil surface only or use the bottom-watering method since watering the plant itself can cause rot."
399,Lithops,FOOD,"Lithops do not need much fertilization as they are native to lean soils that contain very few nutrients. Fertilize once per year in the spring with a very weak solution of general purpose houseplant fertilizer, diluted to 25% strength."
400,Lithops,HUMIDITY,Lithops are typically happy in average household humidity. No need to mist or boost the humidity.
401,Lithops,LIGHT,Lithops need a lot of sunlight to thrive. They need 6 hours or more of direct sunlight every day. Place the living stones in a south-facing window and they will be happy.
402,Lithops,TEMPERATURE,Lithops do well in average household temperatures and can tolerate temperatures from 50-80°F.
403,Lithops,TOXICITY,Living stones are non-toxic and safe to have around children and pets.
404,Lithops,WATER,"Let 100% of the soil volume dry before watering during the spring and summer. These plants thrive in a dry environment. In the fall and winter, these plants typically go dormant and need little to no water. Water only if the lithops have begun to shrivel up."
405,Lucky Bamboo,ADDITIONAL CARE,"You can propagate your lucky bamboo by taking healthy stem cuttings at any point during the year. If you find the tips of your Lucky Bamboo’s leaves begin to turn brown, it may be caused by chemicals in your tap water. Use filtered water, rainwater, or leave tap water in an open container overnight before watering to allow some of the chemicals to evaporate."
406,Lucky Bamboo,FOOD,Your Lucky Bamboo does not require much fertilizer. Fertilize once in the early spring with a plant food high in nitrogen.
407,Lucky Bamboo,HUMIDITY,Lucky Bamboo does well in average household humidity. Keep away from any open vents or drafts.
408,Lucky Bamboo,LIGHT,Your Lucky Bamboo prefers bright indirect sunlight but can survive in low-light situations. Pale bleached leaves usually indicate the plant is getting too much light. Slow growth and small new leaves indicate it is not getting enough light.
409,Lucky Bamboo,TEMPERATURE,"Lucky bamboo is fairly tolerant, doing well in temperatures between 65-95° F."
410,Lucky Bamboo,TOXICITY,"Your Lucky Bamboo is toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation with possible vomiting."
411,Lucky Bamboo,WATER,Water when the top 50% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
412,Mandevilla,ADDITIONAL CARE,"Mandevillas cannot survive the winter throughout most of the US, but it’s easy to overwinter your plant indoors. To do this, wait until night temperatures dip below 50°F. Cut back the vining stems as much as you’d like, leaving at least 8” of stem length. Keep the plant in a bright spot indoors, water sparingly, and do not fertilize. Your Mandevilla will not grow quickly, if at all, over the winter. Begin fertilizing it again in the early spring and move it outdoors once temperatures stay above 50°F."
413,Mandevilla,FOOD,"Feed your Mandevilla once every two weeks in the spring and summer with a balanced water-soluble fertilizer. To encourage maximum blooming, switch to a bloom-boosting fertilizer high in phosphorus during the summer months."
414,Mandevilla,HUMIDITY,"For most areas of the US, your Mandevilla will not require added humidity in an outdoor environment. For desert regions, mist your Mandevilla frequently or use a pebble tray to boost humidity."
415,Mandevilla,LIGHT,"Place your Mandevilla in a full sun location that receives 6 or more hours of direct sunlight per day. The Mandevilla can tolerate partial sun exposure, but flowering will be reduced. The plant will not produce flowers in a fully shaded location."
416,Mandevilla,TEMPERATURE,Mandevillas grow best in temperatures above 55°F. The foliage can be damaged at temperatures below 45°F. We recommend keeping your Mandevilla indoors in a bright spot until night temperatures are consistently above 50°F.
417,Mandevilla,TOXICITY,The Mandevilla is considered mildly toxic to pets and humans if ingested.
418,Mandevilla,WATER,"Water your Mandevilla when 50% of the soil volume is dry. Water slowly, allowing it to absorb into the soil until it begins to drip out of the drainage hole. Do not use a saucer outdoors or allow the pot to sit in standing water."
419,Money Tree,ADDITIONAL CARE,"Try not to move your Money Tree very often, since they prefer a consistent environment. If you do need to relocate it, you may see a bit of leaf drop. Not to worry—it will adjust. Prune any discolored leaves as they age withsharp snips."
420,Money Tree,FOOD,Feed once a month in the spring and summer when it is producing new leaves with ageneral-purpose fertilizerat half strength. Always make sure the soil is damp before applying any fertilizer.
421,Money Tree,HUMIDITY,"Your Money Tree does well in average household humidity. However, if the air is very dry it will appreciate the occasional humidity boost."
422,Money Tree,LIGHT,"Your Money Tree prefers indirect bright light, and can adjust to lower light. Too much direct light will scorch the leaves, but too little light will cause slow growth and yellow leaves. Rotate your plant monthly to keep growth even. If you are worried you don’t have a spot with enough light, try agrow light."
423,Money Tree,TEMPERATURE,Your Money Tree is most comfortable in temperatures between 65-80°F.
424,Money Tree,TOXICITY,Money Trees are considered non-toxic and pet friendly.
425,Money Tree,WATER,Water your Money Treewhen the soil volume is 50-75% dry. Always check the soil moisture before watering. Water thoroughly until you see water flow out of the drainage hole and discard any excess water in the saucer.
426,Monstera,ADDITIONAL CARE,"Large leaves can collect dust. If you notice the leaves are dirty or dusty, wipe the leaves withMicrofiber Dusting Glovesto keep them clean and healthy. In the wild, Monstera plants like to climb. To encourage your Monstera to climb upwards, you can stake wild offshoots with a dowel or use a moss pole. To trim your Monstera, be sure to use clean, sharpPlant Snips."
427,Monstera,FOOD,"For best results, feed your plant once a month throughout the spring and summer, such as ourAll Purpose Fertilizer (20-20-20). A little bit of food will go a long way to encourage growth and root health. No fertilizer is necessary during the winter—it’s important to give your Monstera a chance to rest during the cooler time of year."
428,Monstera,HUMIDITY,"This plant will thrive in almost any environment, but if you want to give it a special treat, gently mist it once a week using aMister. It’s best to mist your Monstera in the morning so the water has plenty of time to evaporate before evening."
429,Monstera,LIGHT,"Your Monstera can grow just about anywhere in your home! It tolerates low light, but grows faster and becomes more dramatic in a spot with indirect bright light. That said, avoid strong, direct sunlight because it may burn the leaves. If you don’t have a location with ideal lighting for your Monstera, use aGrow Light."
430,Monstera,TEMPERATURE,Normal room temperatures between 60–80 degrees are great for your Monstera. It will not tolerate temperatures under 55 degrees or sudden drops in temperature. Avoid cold drafts and direct airflow from heaters in the winter months.
431,Monstera,TOXICITY,"Monstera leaves are mildly toxic to pets and humans. Typically, ingestion will cause mouth and stomach irritation and possible vomiting."
432,Monstera,WATER,Water your Monsterawhen the top 50–75% of the soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
433,Neon Prayer Plant,ADDITIONAL CARE,"You can prune your Prayer Plant to encourage full, vigorous growth. Use a sterilized pair of sharp scissors and clip the stems right above a leaf node. You’ll soon notice new growth emerging directly below the cut area."
434,Neon Prayer Plant,FOOD,Feed once a month during the spring and summer with an all-purpose fertilizer for indoor plants. Never apply fertilizer to dry soil.
435,Neon Prayer Plant,HUMIDITY,"This plant prefers above-average humidity. Use a pebble tray, place a humidifier nearby, or mist often."
436,Neon Prayer Plant,LIGHT,"Your Prayer Plant prefers bright, indirect light. Direct sun can cause the leaves to fade and scorch."
437,Neon Prayer Plant,TEMPERATURE,Prayer Plants prefer temperatures between 68° – 85°F.
438,Neon Prayer Plant,TOXICITY,This plant is considered non-toxic and pet-friendly.
439,Neon Prayer Plant,WATER,Water when the soil volume is 25% dry. Water until liquid flows through the drainage hole and discard any that accumulates in the saucer.
440,Norfolk Pine,ADDITIONAL CARE,"To encourage faster growth on your Norfolk Pine, move it outdoors to a shaded or partially shaded spot during the summer. Wait until all danger of frost has passed before moving it outdoors and bring it back in before the first frost in fall."
441,Norfolk Pine,FOOD,Feed your Norfolk Pine once a month during spring and summer with a general-purpose fertilizer diluted to half-strength. No fertilizer is necessary during the fall and winter when plant growth naturally slows.
442,Norfolk Pine,HUMIDITY,"Your Norfolk Pine will appreciate a boost in humidity during the winter months. You can increase humidity for your Norfolk Pine by using a pebble tray, placing a humidifier nearby, or grouping it near other plants."
443,Norfolk Pine,LIGHT,"Your Norfolk Pine prefers bright indirect light to direct sunlight. It can adapt to medium light areas, but it may become leggy and less full."
444,Norfolk Pine,TEMPERATURE,"Your Norfolk Pine prefers average room temperatures between 65-85°F. Avoid drafty areas near heating or cooling vents, exterior doors, and windows."
445,Norfolk Pine,TOXICITY,Norfolk Pines are considered to be toxic to pets and humans if ingested.
446,Norfolk Pine,WATER,"Water your Norfolk Pine when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer. If the plant stays too dry, the tips of its branches will turn brown and crispy."
447,Olive Tree,ADDITIONAL CARE,"The olive tree needs a 2 month period of dormancy during the winter with temperatures between 40-50°F to help it produce flowers and fruit. This is also known as vernalization. Keep the plant in a bright spot indoors, water sparingly, and do not fertilize during this dormant period. This self pollinating plant can fruit in summer & fall after the third year if care requirements are met."
448,Olive Tree,FOOD,Feed twice a year during the spring and summer growing season with a balanced water soluble fertilizer.
449,Olive Tree,HUMIDITY,Average household humidity is fine for most areas of the US.
450,Olive Tree,LIGHT,Your olive tree prefers direct sunlight. Place your plant in a full sun location that receives 6+ hours of direct sunlight per day.
451,Olive Tree,TEMPERATURE,This plant cannot survive winter throughout most of the US. Bring indoors when the temperatures dip below 40°F. Plants can be damaged when temperatures drop below 30°F.
452,Olive Tree,TOXICITY,Your olive tree is considered nontoxic and pet-friendly.
453,Olive Tree,WATER,Water when 25% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot. Do not use a saucer outdoors or allow the plant to sit in standing water.
454,Orchid,ADDITIONAL CARE,"Flowers can last as long as 2-6 months if kept in ideal conditions. After blooms are spent, you can cut off the flower spike just above the node where the first flower bloomed. New flowers should appear between 3-9 months later."
455,Orchid,FOOD,"Feed your orchid with a foliar fertilizer made specifically for orchids. Feed every time you water your plant during spring and summer, and feed once a month during fall and winter."
456,Orchid,HUMIDITY,Your orchid can adapt to lower humidity levels but will appreciate added humidity by using a pebble tray or humidifier.
457,Orchid,LIGHT,"Your orchid prefers bright indirect light, such as the light from an east-facing window. Don’t let your plant sit in direct sun, as the foliage and delicate flowers may scorch. If your orchid does not get enough light, it will likely not rebloom."
458,Orchid,TEMPERATURE,Your orchid enjoys average room temperatures of 60-80F°.
459,Orchid,TOXICITY,Phalaenopsis orchids are non-toxic to pets and humans if ingested.
460,Orchid,WATER,Water when 75% of the potting media volume is dry. Water thoroughly until it flows from the drainage hole. Discard any excess water to discourage root rot.
461,Oxalis,ADDITIONAL CARE,"Oxalis is unique in that it stores energy underneath the soil in bulbs! If it gets too cold or you forget to water it for an extended period of time, all of the leaves may die back, however, this does not necessarily mean the plant is dead! This plant can revive itself and come back to life and regrow when put back in ideal conditions again."
462,Oxalis,FOOD,Feed your Oxalis once a month during spring and summer with an all-purpose houseplant fertilizer.
463,Oxalis,HUMIDITY,"Your Oxalis prefers a humid environment, use a humidifier or mist often if the air is dry."
464,Oxalis,LIGHT,"Oxalis will do best in very bright indirect sunlight and can handle direct sunlight through a window. However, if kept outside it cannot handle direct light and must be kept in the shade."
465,Oxalis,TEMPERATURE,Your Oxalis prefers normal room temperatures between 65-75. They cannot tolerate hot temperatures above 75-80 degrees.
466,Oxalis,TOXICITY,Oxalis is considered to be toxic to cats and dogs.
467,Oxalis,WATER,Water your Oxalis when the soil is 50-75% dry. Your plant cannot tolerate soggy soil.
468,Peperomia Cupid,ADDITIONAL CARE,"Trailing peperomias can be easily propagated. If you want to multiply your plants or share with a friend, make a cut on a vine below a leaf node, and stick the stem into the water. The plant should respond by sending new shoots from the cut node. Roots will begin to develop after a few weeks. Once roots develop, transfer to soil and keep moist."
469,Peperomia Cupid,FOOD,Your Peperomia will benefit from regular fertilizing during the growing season. Feed once per month in the spring and summer months with general houseplant fertilizer diluted to half the recommended strength.
470,Peperomia Cupid,HUMIDITY,"Peperomias will tolerate average household humidity. However, like most tropical plants, they will benefit from added humidity. You can add humidity by placing a humidifier nearby, misting often, or using a pebble tray."
471,Peperomia Cupid,LIGHT,Place your Peperomias in low to indirect light. Too little light can cause slow growth while too much light can burn the foliage.
472,Peperomia Cupid,TEMPERATURE,Peperomias prefers average room temperatures between 65-75°F.
473,Peperomia Cupid,TOXICITY,Peperomias are non-toxic to humans and pets.
474,Peperomia Cupid,WATER,Water your Peperomia when 50%-75% of the soil volume is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
475,Pigtail Palm,ADDITIONAL CARE,Your Pigtail Palm leaves are sensitive to injury and tend to get dark at the ends. Cutting back the tips of the leaves is a good way to preserve the appearance of the plant. The key is to use a pair of sharp scissors to cut off just the discolored parts.
476,Pigtail Palm,FOOD,"For best results, use a general houseplant fertilizer only once in the spring and once in the summer. Any more than that and your Pigtail Palm may develop brown tips on the leaves."
477,Pigtail Palm,HUMIDITY,"As with most succulents, your Pigtail Palm will thrive in dry conditions. The drier the air, the better!"
478,Pigtail Palm,LIGHT,"Your Pigtail Palm prefers bright
indirect light to full sun."
479,Pigtail Palm,TEMPERATURE,"Protect your palm from cold drafts from windows, air conditioning vents, or doors. This plant prefers normal room temperatures between 60-80 degrees."
480,Pigtail Palm,TOXICITY,Completely non-toxic to humans and pets.
481,Pigtail Palm,WATER,"Water your Pigtail Palm when
the soil is completely dry. Water
until liquid flows through the
drainage hole at the bottom of the
pot and discard any water that has
accumulated in the saucer."
482,Pilea,ADDITIONAL CARE,"If you notice white spots on your Pilea, they are most likely caused by salts and chemicals in your water. If you do not have a filtration system, leaving the tap water in an open container overnight before watering can help remove some of the chemicals."
483,Pilea,FOOD,"Feed once a month during the
spring and summer with a liquid
fertilizer for indoor plants."
484,Pilea,HUMIDITY,"Your Pilea  does not require extra humidity, but a generous misting every now and again will be appreciated."
485,Pilea,LIGHT,"Your Pilea prefers bright, indirect
light. Direct sun may burn the
leaves. In order to prevent your Pilea from growing lopsided, rotate it at least 2-3 times a week since it grows towards the sun. This plant can adapt to lower light areas, but the leaves will turn a darker green and the plant will spread out more."
486,Pilea,TEMPERATURE,"Your Pilea will be happiest in normal household temperatures between 65-75 degrees. However, make sure that your Pilea does not sit near the heating vents in the winter, as it may drop its leaves."
487,Pilea,TOXICITY,"Pilea are generally non-toxic for humans and pets. However, when ingested in very large quantities, they can cause a mild digestive reaction."
488,Pilea,WATER,"Water your Pilea when the top 75%
of the soil is dry. Water until liquid
flows through the drainage hole at
the bottom of the pot and discard
any water that has accumulated in
the saucer."
489,Plerandra elegantissima ‘Bianca’,ADDITIONAL CARE,"False Threadleaf Aralia plants are sensitive to being moved too often–if you have to move it around in your home, do so gradually. Any sudden changes can shock it and cause leaves to drop."
490,Plerandra elegantissima ‘Bianca’,FOOD,Feed once every other month during the spring and summer with a liquid fertilizer for indoor plants.
491,Plerandra elegantissima ‘Bianca’,HUMIDITY,"Your Aralia Bianca will love a boost in humidity from time to time but will tolerate average household humidity. If the air gets too dry in the winter, your plant may start to drop leaves. Increase humidity by placing a humidifier nearby or using a pebble tray. Another way to increase relative humidity is to group several humidity-loving plants together in a small area, creating a micro-climate."
492,Plerandra elegantissima ‘Bianca’,LIGHT,"Your Aralia Bianca will do best in bright indirect light, but will also tolerate low to medium light conditions."
493,Plerandra elegantissima ‘Bianca’,TEMPERATURE,Average indoor temperatures are great for your Aralia Bianca–between 60-80°F.
494,Plerandra elegantissima ‘Bianca’,TOXICITY,False Threadleaf Aralia is toxic to humans and pets if ingested.
495,Plerandra elegantissima ‘Bianca’,WATER,"Water when 50% of the soil volume is dry. Water until liquid flows through the drainage hole at the
bottom of the pot and discard any water that has accumulated in the saucer."
496,Poinsettia,ADDITIONAL CARE,"To encourage your plant to take on a full, bushy shape, prune the stems back in spring and allow the plant to flush out new growth. To encourage the plant to rebloom, ensure the plant receives complete darkness for 14 hours a day for a span of 8 weeks, beginning in mid to late September. This signals the plant to begin producing flower buds and colorful bracts in time for the holiday season."
497,Poinsettia,FOOD,You can give your poinsettia a boost with fertilizer for flowering plants. Fertilize once a month after the plant begins growing again in the spring and throughout the growing season and into the fall. No fertilizer is needed during the winter months.
498,Poinsettia,HUMIDITY,"Poinsettias enjoy humidity between 50% – 75% ambient humidity. You can boost humidity by misting, adding a pebble tray, or placing a humidifier nearby."
499,Poinsettia,LIGHT,"Poinsettias love bright but indirect sunlight. An eastern window is ideal, or a few feet back from a southern or western window. Watch out for pale bleached leaves as this is a sign your plant is getting too much direct sun."
500,Poinsettia,TEMPERATURE,"Poinsettia flowers appreciate daytime temperatures between 65-75° F and nighttime temperatures of 55-60° F. Keep your poinsettia away from drafty windows or doors, and any open vents."
501,Poinsettia,TOXICITY,"Toxic only if ingested in very high amounts to pets and humans. The sap can be irritating to the mouth and stomach if ingested, sometimes causing vomiting. The sap may also cause a very mild allergic skin reaction in some people."
502,Poinsettia,WATER,"You should water your poinsettia when the top 50% of soil is dry. Water slowly until you see water begin to trickle out of the pot’s drainage hole, and make sure you let excess water fully drain out. Discard any excess water after a few minutes."
503,Purple Heart Tradescantia,ADDITIONAL CARE,"Pinching back the long vines encourages branching and increases the fullness of the plant. To do this, simply ‘pinch’ off at a joint or at the tender new growth at the end of the stem."
504,Purple Heart Tradescantia,FOOD,"Feed monthly in the spring through fall with a general-purpose indoor plant fertilizer diluted to half strength. Before applying fertilizer in any form, make sure the soil is damp."
505,Purple Heart Tradescantia,HUMIDITY,Your bathroom or kitchen would be a great choice for your Tradescantia because it does best in a slightly more humid environment. Feel free to mist your plant frequently. If the humidity is too low the leaves will start to brown.
506,Purple Heart Tradescantia,LIGHT,Your Tradescantia prefers bright indirect light to direct light. Insufficient light will cause the foliage to fade.
507,Purple Heart Tradescantia,TEMPERATURE,Your Tradescantia will do great in average room temperatures between 60-80°F.
508,Purple Heart Tradescantia,TOXICITY,Your Tradescantia is mildly toxic to humans and pets. Ingestion may cause mouth and stomach irritation.
509,Purple Heart Tradescantia,WATER,Water your Tradescantia when the top 50%-75% of soil is dry. Water until liquid flows through the drainage hole at the bottom of the pot and discard any water that has accumulated in the saucer.
510,Purple Passion Plant,ADDITIONAL CARE,"If the plant starts to flower, that’s a sign it has reached maturity and you may want to start collecting cuttings."
511,Purple Passion Plant,FOOD,Fertilize your plant once a month during spring and summer with an all-purpose liquid fertilizer diluted to half strength.
512,Purple Passion Plant,HUMIDITY,"Your purple passion plant prefers a fairly humid environment. Avoid misting though, as it does not like to get water on the leaves. Instead, add a humidifier nearby or create a pebble tray."
513,Purple Passion Plant,LIGHT,Your purple passion plant prefers moderate to bright indirect light.
514,Purple Passion Plant,TEMPERATURE,Your purple passion plant prefers average indoor temperatures of 60–70°F.
515,Purple Passion Plant,TOXICITY,Purple passion plants are considered non-toxic for pets and humans.
516,Purple Passion Plant,WATER,"You allow 25% of the soil volume to dry before watering. When watering, try not to get the leaves wet as the hairs can trap moisture and cause the leaves to become waterlogged."
517,Purple Waffle Plant,ADDITIONAL CARE,"If you prefer a bushier plant, pinch the tips of your waffle plant whenever the plant shoots up new growth. Pinch the stems just above a leaf, stem or bud."
518,Purple Waffle Plant,FOOD,"Fertilize your Purple Waffle once a month in the spring and summer with a general indoor plant fertilizer diluted to half the recommended strength. No need to feed in the fall or winter, when plant growth naturally slows."
519,Purple Waffle Plant,HUMIDITY,"Your Purple Waffle loves to be misted, feel free to do this daily, especially in the winter when the air is very dry. Not only does misting provide humidity, it also keeps pests away."
520,Purple Waffle Plant,LIGHT,"Your Purple Waffle prefers bright indirect light, but not direct sun. In less light, it may lose some of the rich purple coloring."
521,Purple Waffle Plant,TEMPERATURE,"Your Purple Waffle plant can grow in temperatures between 55-80 degrees, but they do prefer a consistent temperature."
522,Purple Waffle Plant,TOXICITY,Your Purple Waffle is non-toxic to pets and humans.
523,Purple Waffle Plant,WATER,Your Purple Waffle prefers consistently moist soil. Allow the water to flow freely from the drainage holes on the bottom of the pot. Always empty the saucer of any water.  Purple Waffle does not like its roots to be sitting in water.
524,Raven ZZ,ADDITIONAL CARE,"The ZZ Plant has evolved to survive extreme drought, so feel free to go a little longer between waterings. Bright yellow leaves are a sign the soil is staying too wet, and drooping or dropping leaves are a sign the plant needs to be watered. Clean the leaves with a soft cloth ordusting glovesand water to maintain the Raven ZZ’s signature glossy black look."
525,Raven ZZ,FOOD,Feed once in the spring and once in the summer with anall-purpose fertilizerfor indoor plants. Do not apply fertilizer on dry soil.
526,Raven ZZ,HUMIDITY,This plant does fine in average household humidity.
527,Raven ZZ,LIGHT,"Your ZZ plant prefers indirect bright light. It will tolerate low light and can even adapt to fluorescent lighting, but growth will slow. Avoid extended exposure to direct sunlight, which can scorch the foliage."
528,Raven ZZ,TEMPERATURE,"Your Raven ZZ Plant prefers temperatures between 60-75°F. Keep away from drafts and air vents, especially during the winter months."
529,Raven ZZ,TOXICITY,This plant is considered toxic to pets and humans if ingested.
